sample	unit	assembly	fq1	fq2
SRR9317880	1	SRR9317880	SRR9317880	SRR9317880
SRR9317882	1	SRR9317882	SRR9317882	SRR9317882
ERR3569138	1	ERR3569138	ERR3569138	ERR3569138
ERR3569143	1	ERR3569143	ERR3569143	ERR3569143
ERR3569146	1	ERR3569146	ERR3569146	ERR3569146
ERR3569148	1	ERR3569148	ERR3569148	ERR3569148
ERR3569150	1	ERR3569150	ERR3569150	ERR3569150
ERR3569152	1	ERR3569152	ERR3569152	ERR3569152
ERR3569137	1	ERR3569137	ERR3569137	ERR3569137
ERR3569139	1	ERR3569139	ERR3569139	ERR3569139
